Width: 100
Length: 200
Depth: 400
Body Count: 1000
Body radius: 0.5
Time Step: 0.01
Iterations: 7200
Iteration : 0
62.47 87.05 243.88
61.46 96.3 76.17
24.6 85.24 235.96
80.66 57.4 341.39
94.29 12.82 208.85
35.66 27.58 151.31
99.22 79.15 115.17
30.64 94.93 89.47
18.31 33.96 115.73
85.02 37.07 9.57
52.03 45.37 154.78
26.61 61.96 34.26
98.61 88.37 239.15
6.22 78.42 79.79
45.9 49.84 168.17
7.03 69.79 5.48
52.52 23.65 164.05
19.07 37.29 250.47
50.72 7.16 168.93
33.72 11.72 150.96
27.59 43.3 131.8
70.73 39.28 153.9
44.38 70.1 42.4
69.25 98.06 247.25
53.03 44.82 357.41
85.32 88.16 108.84
73.18 59.46 318.25
97.68 2.39 272.73
3.01 18.9 293.44
94.94 52.79 166.39
22.72 87.1 86.25
5.15 30.13 117.55
15.55 63.72 8.63
83.29 96.97 359.19
49.52 38.63 332.86
39.69 6.52 68.29
63.02 74.58 255.8
54.59 99.06 180.66
38.79 90.6 46.11
33.15 16.76 120.36
37.68 2.54 296.46
16.58 0.82 187.75
40.89 77.99 258.34
97.04 63.2 27.81
55.46 48.94 7.14
57.9 96.83 291.18
92.66 30.02 348.08
94.96 70.63 258.35
60.55 38.39 27.27
0.84 32.77 289.21
36.35 38.74 22.23
6.11 70.1 315.51
39.05 29.39 302.36
54.59 4.42 121.43
88.78 55.0601 199.72
26.17 37.94 245.67
32.06 21.91 54.56
56.16 16.62 1.74
22.44 60.99 345.51
62.53 90.35 226.42
20.26 30.65 195.04
34.66 13.61 397.74
34.09 14.77 79.63
8.65 38.92 121.23
29.57 38.64 341.54
90.83 79.09 394.28
35.76 10.88 243.66
57.76 19.66 273.35
93.33 55.9 291.5
27.56 41.83 42.67
87.67 20.61 264.82
22.24 50.5 201.64
76.11 78.15 54.84
52.51 24.8 25.51
73.75 91.5 227.54
26.28 38.77 311.56
44.41 15.06 145.07
80.72 4.36 140.36
44.8 40.34 287.22
58.39 41.98 68.31
49.33 49.6 52.43
99.43 89.21 70.4
91.56 89.12 285.07
28.18 17.59 259.92
61.44 70.85 63.44
62.19 44.19 286.08
42.51 98.48 375.97
85.1 57.08 311.8
89.24 57.24 91.32
8.31 37.36 73.08
32.19 42.26 222.55
98.58 51.06 306.58
96.86 46.78 126.71
35.56 44.58 81.48
96.24 50.37 114.5
64.91 77.51 313.94
56.85 45.41 382.08
78.12 66.52 390.04
82.75 8.78 17.67
71.25 34.77 66.21
73.47 66.65 10.1
65.6 33.48 276.41
66.61 66.07 388.82
82.61 11.52 159.59
84.76 57.54 72.54
66.33 5.73 252.86
86.84 30.17 322.2
91.56 73.1 122.68
48.57 2.25 246.9
23.26 90.73 89.31
10.08 64.51 159.31
43.13 8 265.02
18.08 7.36 287.29
61.62 99.42 137.13
43.96 98.42 71.77
94.16 39.36 190.69
89.95 64.69 172.35
68.21 69.6 105.32
34.35 71.07 261.18
4.93 6.25 347.58
76.89 11.06 214.55
31.26 93.65 266.4
68.19 20.53 114.01
52.29 15.1 333.71
39.73 50.16 163.64
95.64 50.31 171.57
98 91.55 199.12
75.04 50.07 128.95
72.2 73.72 205.39
14.56 36.39 355.26
84.83 28.71 398.38
92.84 70.46 339.88
85.68 50.67 164.33
77.06 74.4 241.21
24.24 83.69 15.28
25.36 65.57 137.33
89.36 88.87 304.46
89.13 15.83 174.49
69.42 19.36 217.18
78.78 92.39 52.88
49.71 12.47 44.64
27.47 57.58 75.52
10.28 17.1 31.8
46.31 33.15 173.54
92.41 97.4 135.36
14.03 74.19 257.64
60.69 37.79 166.92
49.74 22.75 308.37
21.71 75.86 62.72
6.48 4.82 129.95
44.71 44.86 213.33
99.13 4.35 287.46
68.73 37.19 139.44
76.31 63.36 291.48
17.28 69.13 150.9
21.35 68.1 314.12
60.47 15.98 210.58
19.47 13.64 91.66
22.8 25.25 182.17
31.92 47.09 277.58
86.61 70.42 384.07
11.82 35.75 329.84
22.5 15.46 66.86
12.81 53.69 270.62
96.83 48.18 259.98
74.37 12.83 374.03
12.98 27.11 128.93
3.83 50.42 308.16
47.11 87.36 337.38
53.77 87.92 113.24
46.05 93.4 140.99
84.28 87.95 309.86
4.58 96.22 190.95
26.02 53.6301 265.85
51.27 33.56 9.14
81.39 89.59 388.26
62.11 98.14 231.73
12.24 17.86 63.91
42.18 88.07 79.32
8.43 82.49 243.69
72.33 94.26 282.98
36.54 33.62 295.78
98.91 66.91 359.71
96.22 34.25 42.73
87.01 93.15 35.71
57.06 21.37 277.62
36.11 76.85 216.15
58.79 97.4 140.17
23.98 46.95 168.17
42.37 5.39 235.61
47.08 54.6501 142.29
61.66 22.89 61.47
54.49 83.12 262.35
86.98 71.81 295.39
62.5 24.14 253.38
46.1 46.54 334.52
26.5 43.54 80.4
79.39 53.04 56.16
52.77 50.65 370.49
38.81 70.36 22.19
47.85 84.98 281.71
52.62 23.87 44.44
48.31 61.58 58.91
65.45 78.39 218.91
85.99 50.96 156.14
74.06 17.43 170.14
97.65 45.11 285.36
73.1 55.5001 273.95
78.43 75.91 356.56
73.01 48.75 217.28
71.83 46.44 272.62
10.92 80.68 246.06
3.36 65.61 181.57
46.43 76.22 9.16
29.26 43.09 267.64
77.96 87.62 183.6
16.38 38.08 57.53
97.72 39.43 344.77
46.23 68.07 288.92
86.72 46.52 169.95
25.4 54.2501 269.36
20.27 25.84 64.14
19.79 87.27 188.49
63.45 22.06 204.63
59.46 33.51 351.7
86.8 76.86 229.58
3.4 10.7 187.44
72.84 10.43 190.02
12.94 92.35 397.2
88.56 48.04 133.96
59.47 27.4 175.39
13.38 36.64 160.65
35.68 44.58 377.18
76.8 21.98 50.59
49.76 95.05 40.58
73.18 56.31 327.16
72.87 52.57 305.22
46.31 40.61 217.73
6.74 41.89 289.35
14.55 68.04 66.78
11.75 24.14 130.44
65.61 54.1001 351.54
14.69 59.94 316.37
58.73 85.79 360.19
3.52 22.49 133.06
61.91 83.53 375.72
56.92 4.43 281.96
4.04 53.7901 283.82
88.39 36.24 185.66
43.62 57.39 243.72
89.77 67.84 341.9
